Suburb,Rooms,Type,SellerG,Bedrooms,Bathroom,Garage,Landsize,YearBuilt,CouncilArea,Regionname,Price
Coburg,3,h,Nelson,3,1,1,379,1925,Moreland,Northern Metropolitan,1210000
Coburg,2,u,Peter,2,1,1,129,2012,Moreland,Northern Metropolitan,653000
Coburg,3,t,Nelson,3,1,2,119,1995,Moreland,Northern Metropolitan,640000
Coburg,2,h,Peter,2,1,1,597,1960,Moreland,Northern Metropolitan,820000
Coburg,3,h,Re,3,1,2,735,1920,Moreland,Northern Metropolitan,1130000
Coburg,3,h,Woodards,3,2,1,107,1994,Moreland,Northern Metropolitan,763000
Coburg,2,h,Nelson,2,1,1,253,1910,Moreland,Northern Metropolitan,903000
Coburg,3,h,Nelson,3,1,1,431,1970,Moreland,Northern Metropolitan,1000000
Coburg,4,h,Nelson,3,2,4,482,2006,Moreland,Northern Metropolitan,1742000
Coburg,4,h,Brad,4,1,1,452,1925,Moreland,Northern Metropolitan,865000
Coburg,3,h,Peter,3,2,3,405,1930,Moreland,Northern Metropolitan,1278000
Coburg,4,h,Peter,4,2,1,381,1938,Moreland,Northern Metropolitan,1000000
Coburg,4,h,Ray,4,3,1,420,1920,Moreland,Northern Metropolitan,1136000
Coburg,2,t,Ray,2,1,1,97,2014,Moreland,Northern Metropolitan,635000
Coburg,3,h,Nelson,3,1,2,255,1920,Moreland,Northern Metropolitan,885000
Coburg,4,h,Jellis,4,2,5,371,1888,Moreland,Northern Metropolitan,1160000
Coburg,4,h,RE,4,1,1,856,1970,Moreland,Northern Metropolitan,1400000
Coburg,3,h,Jellis,3,2,0,407,1930,Moreland,Northern Metropolitan,1260000
Coburg,3,h,Re,3,1,3,385,1920,Moreland,Northern Metropolitan,841000
Coburg,2,t,Nelson,2,1,1,108,2007,Moreland,Northern Metropolitan,598000
Coburg,3,h,Raine,3,2,1,293,2006,Moreland,Northern Metropolitan,1120000
Coburg,3,h,Nelson,3,1,1,371,1980,Moreland,Northern Metropolitan,870000
Coburg,3,h,Raine,2,1,2,462,1920,Moreland,Northern Metropolitan,680000
Coburg,3,h,Ray,3,1,2,577,1920,Moreland,Northern Metropolitan,825000
Coburg,3,h,Brad,3,1,0,238,1900,Moreland,Northern Metropolitan,725000
Coburg,4,h,Nelson,4,3,1,515,1900,Moreland,Northern Metropolitan,1250000
Coburg,2,h,Jellis,2,1,3,457,1940,Moreland,Northern Metropolitan,1008000
Coburg,4,h,Grantham,4,1,1,488,1930,Moreland,Northern Metropolitan,990000
Coburg,2,h,Brad,2,2,3,339,1920,Moreland,Northern Metropolitan,635000
Coburg,5,h,Raine,5,2,4,381,1985,Moreland,Northern Metropolitan,1020000
Coburg,3,h,Jellis,3,1,3,336,1950,Moreland,Northern Metropolitan,1025000
Coburg,3,h,Brad,3,1,1,138,2000,Moreland,Northern Metropolitan,700000
Coburg,3,h,Nelson,3,1,3,206,1945,Moreland,Northern Metropolitan,1130000
Coburg,4,h,Hodges,4,1,4,531,1925,Moreland,Northern Metropolitan,1075000
Coburg,3,h,Brad,3,1,1,221,1980,Moreland,Northern Metropolitan,845000
Coburg,3,t,Brad,3,1,1,102,1976,Moreland,Northern Metropolitan,600000
Coburg,4,h,Peter,4,2,2,43,1930,Moreland,Northern Metropolitan,1150000
Coburg,3,h,Raine,4,1,2,408,1970,Moreland,Northern Metropolitan,770000
Coburg,2,h,Nelson,2,1,1,500,1975,Moreland,Northern Metropolitan,472000
Coburg,2,h,Peter,2,1,1,545,1940,Moreland,Northern Metropolitan,901000
Coburg,3,t,Nelson,3,1,1,116,1995,Moreland,Northern Metropolitan,687000
Coburg,4,h,Re,4,2,2,307,1996,Moreland,Northern Metropolitan,975000
Coburg,3,h,Jellis,3,1,1,309,1880,Moreland,Northern Metropolitan,985000
Coburg,3,h,Nelson,3,1,1,563,1930,Moreland,Northern Metropolitan,1370000
Coburg,2,h,Nelson,2,1,2,381,1925,Moreland,Northern Metropolitan,700000
Coburg,3,t,Nelson,3,2,1,213,2010,Moreland,Northern Metropolitan,810000
Coburg,4,h,Jellis,4,1,1,576,1960,Moreland,Northern Metropolitan,838000
Coburg,4,h,Nelson,4,1,2,633,1990,Moreland,Northern Metropolitan,1150000
Coburg,4,h,Brad,3,1,1,412,1920,Moreland,Northern Metropolitan,931000
Coburg,2,h,Nelson,2,1,1,263,1910,Moreland,Northern Metropolitan,981000
Coburg,2,h,Nelson,2,1,1,113,1970,Moreland,Northern Metropolitan,500000
Coburg North,3,h,hockingstuart,3,1,0,404,1950,Moreland,Northern Metropolitan,655000
Coburg North,3,t,McGrath,3,1,1,178,2012,Moreland,Northern Metropolitan,631000
Coburg North,2,t,McGrath,2,1,1,145,2010,Moreland,Northern Metropolitan,600000
Coburg North,3,h,hockingstuart,3,2,2,173,2010,Moreland,Northern Metropolitan,715000
Coburg North,3,h,Nelson,3,1,2,565,1950,Moreland,Northern Metropolitan,864000
Coburg North,3,h,Nelson,3,1,2,626,1950,Moreland,Northern Metropolitan,700000
Coburg North,3,h,Nelson,2,1,3,586,1950,Moreland,Northern Metropolitan,860000
Coburg North,2,h,Love,2,1,2,563,1925,Moreland,Northern Metropolitan,765000
Coburg North,3,h,Nelson,3,1,2,104,2014,Moreland,Northern Metropolitan,625000
Coburg North,2,h,Raine,2,1,3,526,1940,Moreland,Northern Metropolitan,745000
Coburg North,4,h,Jellis,4,3,2,501,2016,Moreland,Northern Metropolitan,1050000
Coburg North,2,h,First,2,1,2,833,1960,Moreland,Northern Metropolitan,935000
Coburg North,4,h,Ray,4,1,2,590,1950,Moreland,Northern Metropolitan,1009000
Coburg North,2,h,Nelson,2,1,4,629,1960,Moreland,Northern Metropolitan,820000
Coburg North,3,h,Nelson,3,1,2,307,1950,Moreland,Northern Metropolitan,780000
Coburg North,3,h,Brad,3,2,3,556,1950,Moreland,Northern Metropolitan,707000
Coburg North,2,u,Brad,2,1,1,168,1970,Moreland,Northern Metropolitan,532500
Coburg North,3,h,Brad,3,1,4,498,1950,Moreland,Northern Metropolitan,637000
Coburg North,4,h,hockingstuart,4,2,2,298,2013,Moreland,Northern Metropolitan,950000
Coburg North,3,h,Jellis,3,2,3,472,1970,Moreland,Northern Metropolitan,860000
Coburg North,5,h,Ray,5,3,2,425,2014,Moreland,Northern Metropolitan,1172000
Coburg North,3,h,Barry,3,1,1,407,1930,Darebin,Northern Metropolitan,650000
Coburg North,4,h,Jellis,4,2,1,320,1950,Moreland,Northern Metropolitan,792000
Coburg North,3,h,Nelson,3,1,2,499,1970,Moreland,Northern Metropolitan,720000
Coburg North,3,h,Jellis,3,1,2,575,1960,Moreland,Northern Metropolitan,970000
Collingwood,2,h,LITTLE,2,1,1,178,1900,Yarra,Northern Metropolitan,890000
Collingwood,2,u,Nelson,2,1,1,2886,1830,Yarra,Northern Metropolitan,855000
Collingwood,3,h,Jellis,3,1,0,167,1900,Yarra,Northern Metropolitan,1260000
Collingwood,1,u,Jellis,1,1,1,816,2000,Yarra,Northern Metropolitan,452000
Collingwood,1,u,Collins,1,1,1,2773,2010,Yarra,Northern Metropolitan,440000
Collingwood,1,u,Biggin,1,1,1,3701,2005,Yarra,Northern Metropolitan,415000
Collingwood,2,h,Jellis,2,1,0,130,1890,Yarra,Northern Metropolitan,855000
Collingwood,1,u,Jellis,1,1,1,406,1970,Yarra,Northern Metropolitan,457000
Collingwood,3,t,Jellis,3,2,1,82,1995,Yarra,Northern Metropolitan,897500
Collingwood,2,h,Jellis,3,1,1,282,1920,Yarra,Northern Metropolitan,1265000
Collingwood,3,h,hockingstuart,3,1,0,183,1880,Yarra,Northern Metropolitan,1075000
Collingwood,2,h,Jellis,2,1,0,188,1900,Yarra,Northern Metropolitan,981000
Collingwood,2,h,Peter,2,1,2,159,1880,Yarra,Northern Metropolitan,1000000
Collingwood,3,t,Peter,3,2,1,81,2000,Yarra,Northern Metropolitan,887500
Collingwood,2,u,Jellis,2,2,1,1060,2010,Yarra,Northern Metropolitan,713500
Doncaster,2,u,Barry,2,1,1,65,1975,Manningham,Eastern Metropolitan,492500
Doncaster,3,h,Barry,3,1,4,727,1970,Manningham,Eastern Metropolitan,1403000
Doncaster,3,h,Barry,3,1,1,638,1970,Manningham,Eastern Metropolitan,1450000
Doncaster,4,h,Barry,4,1,2,658,1975,Manningham,Eastern Metropolitan,1396000
Doncaster,3,h,hockingstuart,3,2,2,819,1970,Manningham,Eastern Metropolitan,1125000
Doncaster,4,h,Jellis,4,2,2,336,2007,Manningham,Eastern Metropolitan,1152000
Doncaster,4,h,hockingstuart,3,2,2,925,1960,Manningham,Eastern Metropolitan,1868000
Doncaster,4,h,Barry,4,2,2,317,1995,Manningham,Eastern Metropolitan,1050000
Doncaster,3,u,Barry,3,2,2,299,2001,Manningham,Eastern Metropolitan,910000
Doncaster,3,h,Jellis,3,1,2,1073,1960,Manningham,Eastern Metropolitan,1850000
Doncaster,4,h,Ray,4,3,2,740,1985,Manningham,Eastern Metropolitan,1225000
Doncaster,4,h,Jellis,4,2,2,716,1965,Manningham,Eastern Metropolitan,1316000
Doncaster,5,h,Jellis,5,3,2,656,1985,Manningham,Eastern Metropolitan,1400000
Doncaster,5,h,Barry,5,5,2,669,2016,Manningham,Eastern Metropolitan,2168000
Doncaster,4,h,Jellis,4,2,2,655,1970,Manningham,Eastern Metropolitan,1430000
Doncaster,3,u,Barry,3,2,1,203,1986,Manningham,Eastern Metropolitan,772000
Doncaster,4,h,Ray,4,2,2,806,1975,Manningham,Eastern Metropolitan,1468000
Doncaster,3,h,Barry,3,1,1,720,1960,Manningham,Eastern Metropolitan,1275000
Doncaster,4,u,Barry,3,1,1,241,1970,Manningham,Eastern Metropolitan,753000
Doncaster,4,h,Fletchers,4,2,3,767,1963,Manningham,Eastern Metropolitan,1250000
Doncaster,2,h,Barry,3,1,1,679,1960,Manningham,Eastern Metropolitan,1140000
Doncaster,3,t,hockingstuart,3,2,2,118,2013,Manningham,Eastern Metropolitan,746000
Doncaster,3,h,Barry,3,2,2,731,1960,Manningham,Eastern Metropolitan,1485000
Doncaster,3,h,Ray,3,1,1,658,1960,Manningham,Eastern Metropolitan,1190000
Doncaster,3,h,Ray,2,2,2,366,2013,Manningham,Eastern Metropolitan,900000
Doncaster,3,h,Jellis,3,2,1,728,1965,Manningham,Eastern Metropolitan,1250000
Doncaster,3,h,Ray,3,1,1,827,1960,Manningham,Eastern Metropolitan,1030000
Doncaster,4,t,Fletchers,4,2,2,182,1998,Manningham,Eastern Metropolitan,985000
Doncaster,3,h,Jellis,3,1,2,651,1970,Manningham,Eastern Metropolitan,1300000
Doncaster,4,h,Philip,4,3,2,654,1969,Manningham,Eastern Metropolitan,1462500
Doncaster,3,h,Barry,3,1,2,811,1970,Manningham,Eastern Metropolitan,1430000
Doncaster,4,t,Barry,4,3,2,711,1960,Manningham,Eastern Metropolitan,1350000
Doncaster,3,h,Fletchers,3,2,2,900,1970,Manningham,Eastern Metropolitan,1250000
Doncaster,4,h,Jellis,4,3,2,654,1970,Manningham,Eastern Metropolitan,1460800
Doncaster,3,h,Barry,3,2,2,648,1980,Manningham,Eastern Metropolitan,1152500
Doncaster,5,h,Jellis,5,4,2,500,2007,Manningham,Eastern Metropolitan,1650000
Doncaster,3,u,Barry,3,2,2,267,1991,Manningham,Eastern Metropolitan,800000
Doncaster,3,h,Ray,3,1,1,764,1965,Manningham,Eastern Metropolitan,1391000
Doncaster,2,u,Parkes,2,1,1,67,1975,Manningham,Eastern Metropolitan,452000
Doncaster,3,t,Jellis,3,2,2,233,2012,Manningham,Eastern Metropolitan,1102200
Doncaster,4,h,RW,4,3,2,650,1970,Manningham,Eastern Metropolitan,1401000
Doncaster,4,h,Barry,4,3,3,586,2002,Manningham,Eastern Metropolitan,1782000
Doncaster,4,h,Barry,4,3,2,657,2010,Manningham,Eastern Metropolitan,1520000
Doncaster,4,t,Ray,4,2,2,234,2009,Manningham,Eastern Metropolitan,973500
Doncaster,3,u,Jellis,3,1,2,109,2001,Manningham,Eastern Metropolitan,751800
Doncaster,3,h,Vic,3,2,2,771,1960,Manningham,Eastern Metropolitan,1100000
Doncaster,3,h,Barry,3,2,2,649,1965,Manningham,Eastern Metropolitan,1202000
Doncaster,3,h,Philip,3,1,2,798,1960,Manningham,Eastern Metropolitan,1362000
Doncaster,4,h,Jellis,4,2,4,769,1970,Manningham,Eastern Metropolitan,1810000
Eaglemont,5,h,Nelson,3,2,2,963,1925,Banyule,Eastern Metropolitan,1901000
Eaglemont,4,h,Miles,4,3,2,724,1940,Banyule,Eastern Metropolitan,1650000
Eaglemont,3,h,Nelson,3,1,2,846,1955,Banyule,Eastern Metropolitan,1816000
Eaglemont,2,u,Miles,2,1,1,79,1970,Banyule,Eastern Metropolitan,525000
Eaglemont,4,h,Miles,4,3,2,723,1950,Banyule,Eastern Metropolitan,2050000
Eaglemont,5,h,Miles,5,2,1,939,1930,Banyule,Eastern Metropolitan,1930000
Eaglemont,4,h,Nelson,3,2,3,871,1937,Banyule,Eastern Metropolitan,2600000
Eaglemont,2,u,Miles,2,1,1,112,1970,Banyule,Eastern Metropolitan,600000
Eaglemont,3,h,Miles,3,1,1,872,1960,Banyule,Eastern Metropolitan,1601000
Eaglemont,3,h,Holland,3,2,1,555,1988,Banyule,Eastern Metropolitan,1100000
Eaglemont,4,h,Miles,4,2,2,1484,1970,Banyule,Eastern Metropolitan,2550000
Eaglemont,4,h,Nelson,4,3,2,597,1940,Banyule,Eastern Metropolitan,2012000
Eaglemont,4,h,Nelson,4,3,2,1177,1960,Banyule,Eastern Metropolitan,2309000
Elsternwick,2,h,Gary,2,1,2,239,1940,Glen Eira,Southern Metropolitan,900000
Elsternwick,3,h,Biggin,3,2,2,447,1920,Glen Eira,Southern Metropolitan,1625000
Elsternwick,4,h,hockingstuart,4,2,0,147,1910,Glen Eira,Southern Metropolitan,1100000
Elsternwick,3,h,Gary,3,2,1,391,1905,Glen Eira,Southern Metropolitan,1755000
Elsternwick,4,h,Biggin,4,1,1,489,1910,Glen Eira,Southern Metropolitan,1400000
Elsternwick,3,u,Hodges,3,2,2,319,1990,Glen Eira,Southern Metropolitan,1240000
Elsternwick,2,u,Buxton,2,1,1,815,2008,Glen Eira,Southern Metropolitan,591000
Elsternwick,3,h,Hodges,3,2,2,331,2010,Glen Eira,Southern Metropolitan,800000
Elsternwick,3,h,Biggin,3,1,2,275,1900,Glen Eira,Southern Metropolitan,965000
Elsternwick,2,h,Chisholm,2,2,2,155,2011,Glen Eira,Southern Metropolitan,1160000
Elsternwick,3,t,McGrath,3,2,2,108,2002,Glen Eira,Southern Metropolitan,820000
Elsternwick,4,h,Biggin,4,2,2,527,1880,Glen Eira,Southern Metropolitan,2600000
Elsternwick,3,t,Biggin,3,2,2,179,2000,Glen Eira,Southern Metropolitan,1071000
Elsternwick,3,h,Biggin,3,2,2,492,1905,Glen Eira,Southern Metropolitan,1800000
Elsternwick,3,h,Biggin,3,2,1,419,1908,Glen Eira,Southern Metropolitan,2345000
Elsternwick,2,u,Gary,2,1,1,1764,1930,Glen Eira,Southern Metropolitan,626000
Elsternwick,4,h,Biggin,1,3,2,386,1913,Glen Eira,Southern Metropolitan,1650000
Elsternwick,3,t,Scott,3,2,2,108,2000,Glen Eira,Southern Metropolitan,850000
Elsternwick,3,h,Buxton,3,2,2,517,1900,Glen Eira,Southern Metropolitan,1750000
Elsternwick,3,h,Biggin,3,1,2,351,1915,Glen Eira,Southern Metropolitan,1450000
Elsternwick,4,h,Biggin,4,3,2,669,1930,Glen Eira,Southern Metropolitan,2806000
Elsternwick,4,h,Pride,4,2,2,125,2000,Glen Eira,Southern Metropolitan,1007000
Elsternwick,4,h,Biggin,4,2,2,376,1917,Glen Eira,Southern Metropolitan,1450000
Elsternwick,4,h,Biggin,5,3,2,701,1885,Glen Eira,Southern Metropolitan,2600000
Elsternwick,2,h,Owen,2,1,1,147,1915,Glen Eira,Southern Metropolitan,895000
Elsternwick,4,h,Biggin,3,3,2,420,2016,Glen Eira,Southern Metropolitan,2050000
Elsternwick,3,h,Biggin,3,1,1,418,1890,Glen Eira,Southern Metropolitan,1605000
Elwood,2,u,Wilson,2,1,1,553,1960,Port Phillip,Southern Metropolitan,525000
Elwood,3,t,Pride,3,2,1,400,1996,Port Phillip,Southern Metropolitan,1395000
Elwood,2,u,hockingstuart,2,1,1,1966,1960,Port Phillip,Southern Metropolitan,855000
Elwood,2,u,Chisholm,2,2,2,2381,2009,Port Phillip,Southern Metropolitan,1050000
Elwood,3,h,Marshall,3,1,2,327,1900,Port Phillip,Southern Metropolitan,1911000
Elwood,2,h,Pride,2,1,0,163,1890,Port Phillip,Southern Metropolitan,1210000
Elwood,3,h,Chisholm,3,1,0,257,1920,Port Phillip,Southern Metropolitan,1050000
Elwood,2,u,Chisholm,2,1,0,483,1950,Port Phillip,Southern Metropolitan,575000
Elwood,3,h,Buxton,3,2,1,116,1996,Port Phillip,Southern Metropolitan,1238000
Elwood,4,h,Pride,4,2,0,223,1910,Port Phillip,Southern Metropolitan,1875000
Elwood,3,h,hockingstuart,3,2,1,75,2002,Port Phillip,Southern Metropolitan,878500
Elwood,3,h,Marshall,4,2,6,737,1915,Port Phillip,Southern Metropolitan,3572000
Elwood,3,h,Chisholm,3,2,2,316,1910,Port Phillip,Southern Metropolitan,1700000
Elwood,2,u,hockingstuart,2,1,1,1622,1970,Port Phillip,Southern Metropolitan,686000
Elwood,3,h,McGrath,3,2,1,246,1950,Port Phillip,Southern Metropolitan,1625000
Elwood,2,u,Buxton,2,1,1,1307,1960,Port Phillip,Southern Metropolitan,559000
Elwood,1,u,hockingstuart,1,1,1,1547,1970,Port Phillip,Southern Metropolitan,369000
Elwood,4,h,Marshall,4,2,2,560,1920,Port Phillip,Southern Metropolitan,2400000
Elwood,1,u,hockingstuart,1,1,1,644,1960,Port Phillip,Southern Metropolitan,390000
Elwood,2,u,Gary,2,2,1,799,2012,Port Phillip,Southern Metropolitan,932000
Elwood,4,h,Chisholm,3,3,0,235,2005,Port Phillip,Southern Metropolitan,1875000
Elwood,4,h,Wilson,4,3,2,348,1900,Port Phillip,Southern Metropolitan,2200000
Elwood,3,t,McGrath,3,2,2,758,2010,Port Phillip,Southern Metropolitan,920000
Elwood,3,h,Chisholm,3,2,2,374,1925,Port Phillip,Southern Metropolitan,1830000
Elwood,2,u,Kay,2,2,1,1307,1960,Port Phillip,Southern Metropolitan,572500
Elwood,3,h,Chisholm,2,1,1,393,1923,Port Phillip,Southern Metropolitan,1925000
Essendon,3,h,Jellis,3,2,2,684,1950,Moonee Valley,Western Metropolitan,1425000
Essendon,2,u,Barry,2,1,1,263,1980,Moonee Valley,Western Metropolitan,660000
Essendon,3,h,Nelson,3,1,3,688,1930,Moonee Valley,Western Metropolitan,1295000
Essendon,2,t,Frank,2,1,2,752,1990,Moonee Valley,Western Metropolitan,595000
Essendon,3,h,Rendina,3,2,2,225,2008,Moonee Valley,Western Metropolitan,911000
Essendon,4,h,Nelson,4,2,1,288,1980,Moonee Valley,Western Metropolitan,900000
Essendon,2,u,Nelson,2,1,1,168,2008,Moonee Valley,Western Metropolitan,702500
Essendon,3,h,Brad,3,1,2,549,1950,Moonee Valley,Western Metropolitan,960000
Essendon,4,h,Nelson,4,2,1,291,1920,Moonee Valley,Western Metropolitan,1670000
Essendon,3,h,Nelson,3,2,1,789,1890,Moonee Valley,Western Metropolitan,1100000
Essendon,4,h,Nelson,3,2,2,648,1910,Moonee Valley,Western Metropolitan,1800000
Essendon,4,t,Frank,3,3,2,374,2015,Moonee Valley,Western Metropolitan,1250000
Essendon,2,h,Barry,2,1,1,646,1950,Moonee Valley,Western Metropolitan,1130000
Essendon,3,h,Greg,3,2,2,188,1900,Moonee Valley,Western Metropolitan,1467000
Essendon,5,h,Nelson,5,4,6,877,2005,Moonee Valley,Western Metropolitan,2800000
Essendon,4,h,Nelson,4,3,2,256,2015,Moonee Valley,Western Metropolitan,1160000
Essendon,6,h,Brad,6,4,2,860,1930,Moonee Valley,Western Metropolitan,2620000
Essendon,3,h,Nelson,3,1,3,533,1955,Moonee Valley,Western Metropolitan,1226000
Essendon,4,h,Nelson,4,2,1,554,1940,Moonee Valley,Western Metropolitan,1402000
Essendon,3,h,Frank,3,1,2,226,2000,Moonee Valley,Western Metropolitan,897000
Essendon,3,h,Nelson,3,1,2,396,1950,Moonee Valley,Western Metropolitan,855000
Essendon,4,h,Brad,4,2,2,503,2008,Moonee Valley,Western Metropolitan,1275000
Essendon,4,h,Nelson,4,3,1,475,2007,Moonee Valley,Western Metropolitan,1590000
Essendon,3,h,McDonald,3,2,1,619,1930,Moonee Valley,Western Metropolitan,1385000
Essendon,3,t,Barry,3,2,1,160,1985,Moonee Valley,Western Metropolitan,650000
Essendon,3,t,Brad,3,2,1,291,2013,Moonee Valley,Western Metropolitan,1000000
Essendon,3,t,Frank,3,1,2,190,1999,Moonee Valley,Western Metropolitan,720000
Essendon,4,h,Nelson,4,1,2,638,1900,Moonee Valley,Western Metropolitan,1635000
Essendon,2,h,Jellis,2,1,2,244,1915,Moonee Valley,Western Metropolitan,1001000
Essendon,5,h,Brad,5,3,2,700,1988,Moonee Valley,Western Metropolitan,1575000
Essendon,4,h,Brad,3,2,1,683,1920,Moonee Valley,Western Metropolitan,1467000
Essendon,2,h,Nelson,2,1,1,649,1950,Moonee Valley,Western Metropolitan,890000
Essendon,2,h,Nelson,3,1,2,319,1920,Moonee Valley,Western Metropolitan,870000
Essendon,3,h,Barry,3,1,1,551,1950,Moonee Valley,Western Metropolitan,1134000
Essendon,2,u,Nelson,2,1,1,156,1994,Moonee Valley,Western Metropolitan,650000
Essendon,2,h,Nelson,2,1,2,477,1960,Moonee Valley,Western Metropolitan,1065000
Essendon,4,h,Hodges,4,2,2,601,2010,Moonee Valley,Western Metropolitan,1610000
Essendon,2,h,Barry,2,1,2,225,1990,Moonee Valley,Western Metropolitan,930000
Essendon,3,h,Nelson,3,1,1,687,2016,Moonee Valley,Western Metropolitan,1470000
Essendon,3,h,Paul,3,1,2,388,1910,Moonee Valley,Western Metropolitan,1475000
Essendon,3,t,Brad,3,1,1,253,1997,Moonee Valley,Western Metropolitan,750000
Essendon,4,h,Brad,4,3,1,519,1930,Moonee Valley,Western Metropolitan,1600000
Essendon,4,h,Nelson,4,1,2,638,1900,Moonee Valley,Western Metropolitan,1535000
Essendon,3,h,Paul,3,2,1,605,1920,Moonee Valley,Western Metropolitan,1460000
Essendon,2,u,Nelson,2,1,1,121,1970,Moonee Valley,Western Metropolitan,405000
Essendon,2,u,Nelson,2,1,1,250,1988,Moonee Valley,Western Metropolitan,740000
Essendon,2,u,Brad,2,1,1,201,1995,Moonee Valley,Western Metropolitan,691000
Essendon,4,h,McDonald,4,2,3,715,1920,Moonee Valley,Western Metropolitan,2355000
Essendon,4,h,Barry,4,1,2,650,1950,Moonee Valley,Western Metropolitan,1560000
Essendon,3,h,Nelson,3,2,1,858,1938,Moonee Valley,Western Metropolitan,1625000
Essendon,3,h,Paul,3,1,0,300,1900,Moonee Valley,Western Metropolitan,1150000
Essendon,2,u,Nelson,2,1,1,170,1994,Moonee Valley,Western Metropolitan,645000
Essendon,3,u,Nelson,3,1,1,862,1970,Moonee Valley,Western Metropolitan,872000
Essendon,2,u,Brad,2,1,1,1011,1970,Moonee Valley,Western Metropolitan,440000
Essendon,5,h,Nelson,5,3,2,657,1930,Moonee Valley,Western Metropolitan,1811000
Essendon,3,h,Red,3,2,3,440,1930,Moonee Valley,Western Metropolitan,1500000
Essendon,3,h,Nelson,3,1,1,618,1960,Moonee Valley,Western Metropolitan,1290000
Essendon,4,h,Nelson,3,2,2,411,1996,Moonee Valley,Western Metropolitan,1270000
Essendon,3,h,Nelson,3,2,1,400,1910,Moonee Valley,Western Metropolitan,1445000
Essendon,4,h,Brad,3,1,2,533,1950,Moonee Valley,Western Metropolitan,1113000
Essendon North,2,u,Brad,2,1,1,999,1970,Moonee Valley,Western Metropolitan,393000
Essendon North,2,u,Barry,2,1,1,88,1960,Moonee Valley,Western Metropolitan,450000
Essendon North,5,h,Nelson,5,3,2,463,1930,Moonee Valley,Western Metropolitan,1360000
Essendon North,4,h,Barry,3,2,2,607,1940,Moonee Valley,Western Metropolitan,1605000
Essendon North,3,u,Nelson,3,2,2,189,2009,Moonee Valley,Western Metropolitan,712000
Fairfield,3,h,Jellis,3,2,0,327,1910,Darebin,Northern Metropolitan,1250000
Fairfield,3,h,McGrath,3,1,2,309,2000,Darebin,Northern Metropolitan,1350000
Fairfield,3,h,Jellis,3,1,1,235,1900,Darebin,Northern Metropolitan,1064000
Fairfield,2,h,Jellis,2,1,2,537,1950,Darebin,Northern Metropolitan,1220000
Fairfield,4,h,Nelson,4,2,1,381,1890,Darebin,Northern Metropolitan,1160000
Fairfield,3,t,Love,3,1,1,185,1990,Darebin,Northern Metropolitan,846000
Fairfield,2,u,Jellis,2,1,1,116,1985,Darebin,Northern Metropolitan,730000
Fairfield,4,h,Jellis,4,2,2,490,2007,Darebin,Northern Metropolitan,1730000
Fairfield,2,u,hockingstuart,2,1,1,1658,1970,Darebin,Northern Metropolitan,510000
Fairfield,3,h,Collins,3,2,4,735,1950,Darebin,Northern Metropolitan,2350000
Fairfield,3,h,Nelson,3,1,4,553,1930,Darebin,Northern Metropolitan,1350000
Fairfield,4,h,Nelson,4,3,2,575,2015,Darebin,Northern Metropolitan,2000000
Fairfield,3,h,Nelson,3,1,2,630,1930,Darebin,Northern Metropolitan,1065000
Fairfield,2,t,McGrath,2,1,1,140,2008,Darebin,Northern Metropolitan,805000
Fairfield,3,h,Collins,3,1,2,382,1950,Darebin,Northern Metropolitan,1055000
Fairfield,3,h,McGrath,3,1,1,496,1910,Darebin,Northern Metropolitan,1375000
Fitzroy,4,h,Peter,4,1,1,186,1902,Yarra,Northern Metropolitan,1780000
Fitzroy,1,h,Nelson,1,1,0,87,1980,Yarra,Northern Metropolitan,947500
Fitzroy,4,h,Caine,4,4,2,337,1854,Yarra,Northern Metropolitan,3310000
Fitzroy,3,h,Jellis,3,2,1,138,1900,Yarra,Northern Metropolitan,1481000
Fitzroy,3,h,Nelson,3,1,1,113,1890,Yarra,Northern Metropolitan,1250000
Fitzroy,4,h,Nelson,4,1,0,177,1890,Yarra,Northern Metropolitan,1950000
Fitzroy,4,h,Nelson,3,2,1,132,1880,Yarra,Northern Metropolitan,1620000
Fitzroy,3,u,Nelson,3,2,1,2782,2000,Yarra,Northern Metropolitan,850000
Fitzroy,2,h,Nelson,2,1,0,106,1890,Yarra,Northern Metropolitan,1122000
Fitzroy,2,h,Nelson,2,1,1,157,1900,Yarra,Northern Metropolitan,1300000
Fitzroy,1,u,Caine,1,1,1,782,1975,Yarra,Northern Metropolitan,420000
Fitzroy,2,h,Harrington,2,2,1,64,1995,Yarra,Northern Metropolitan,800000
Fitzroy,4,h,Nelson,4,3,2,286,1890,Yarra,Northern Metropolitan,4011000
Fitzroy,2,h,Chambers,2,1,0,67,1850,Yarra,Northern Metropolitan,677000
Fitzroy North,2,u,Woodards,2,2,1,4332,2010,Yarra,Northern Metropolitan,700000
Fitzroy North,2,h,Woodards,2,1,0,104,1880,Yarra,Northern Metropolitan,860000
Fitzroy North,2,h,Nelson,2,1,0,107,1910,Yarra,Northern Metropolitan,870000
Fitzroy North,4,h,Nelson,4,2,1,266,1950,Yarra,Northern Metropolitan,1450000
Fitzroy North,2,u,Collins,2,2,2,4296,2011,Yarra,Northern Metropolitan,700000
Fitzroy North,2,h,Nicholson,2,2,1,134,1905,Yarra,Northern Metropolitan,770000
Fitzroy North,2,h,LITTLE,2,1,1,150,1890,Yarra,Northern Metropolitan,1008000
Fitzroy North,3,t,Collins,3,2,1,112,2000,Yarra,Northern Metropolitan,1015000
